Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Unnamed:_5,Age,Age_Group,Role,Experience,Batting_Rating,Bowling_Rating,Fielding_Rating,Fitness,Overall_Rating
S Narwal,1982-04-16,Left Hand,Right-Arm Medium,India,,43.0,40+,Bowler,100,57,93,88,82,79.8
S Rana,1984-09-18,Right Hand,Right-Arm Medium-Fast,India,,41.0,40+,Bowler,92,61,77,75,61,71.8
S Randiv,1985-01-30,Right Hand,Right-Arm Offbreak,Sri Lanka,,40.0,36-40,All-Rounder,88,74,71,73,77,74.35
S Rutherford,,Left Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,All-Rounder,84,72,73,89,68,75.9
S Sharma,,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,34,95,88,73,70.4
S Singh,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,73,41,91,80,65.95
S Sohal,1987-11-10,Right Hand,Legbreak,India,,38.0,36-40,Bowler,80,43,87,87,70,70.05
S Sreesanth,1983-02-06,Right Hand,Right-Arm Fast-Medium,India,,42.0,40+,Bowler,96,57,79,70,85,71.95
S Sriram,1976-02-21,Left Hand,Slow Left-Arm Orthodox,India,,49.0,40+,Bowler,100,43,77,73,71,66.5
S Tyagi,1987-09-17,Right Hand,Right-Arm Medium,India,,38.0,36-40,All-Rounder,80,68,89,85,78,79.6
S Vidyut,1981-12-03,Left Hand,Slow Left-Arm Orthodox,India,,44.0,40+,Bowler,100,56,87,81,77,76.05
S Warrier,,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,62,83,85,70,75.4
Sa Abbott,1992-02-29,Right Hand,Right-Arm Fast-Medium,New Zealand,,33.0,31-35,Bowler,60,44,82,80,79,66.05
Sa Asnodkar,1984-03-29,Right Hand,Right-Arm Offbreak,India,,41.0,40+,Bowler,92,41,85,90,80,70.8
Sa Yadav,1990-09-14,Right Hand,Right-Arm Offbreak,India,,35.0,31-35,All-Rounder,68,81,79,70,74,77.0
Sachin Baby,1988-12-18,Left Hand,Right-Arm Offbreak,India,,37.0,36-40,Bowler,76,36,82,71,64,62.75
Salman Butt,1984-10-07,Left Hand,Right-Arm Offbreak,Pakistan,,41.0,40+,All-Rounder,92,70,66,75,62,71.15
Sandeep Sharma,1993-05-18,Right Hand,Right-Arm Medium,India,,32.0,31-35,Bowler,56,54,93,86,87,74.3
Sb Bangar,2072-10-11,Right Hand,Right-Arm Medium-Fast,India,,39.0,36-40,All-Rounder,84,79,89,71,84,82.05
Sb Jakati,1980-11-27,Left Hand,Slow Left-Arm Orthodox,India,,45.0,40+,Bowler,100,43,95,90,61,74.85
Sb Joshi,2070-06-06,Left Hand,Slow Left-Arm Orthodox,India,,39.0,36-40,Bowler,84,63,75,80,73,72.35
Sb Styris,2075-07-10,Right Hand,Right-Arm Medium,New Zealand,,39.0,36-40,Bowler,84,42,83,71,85,67.05
Sb Wagh,1988-10-09,Left Hand,Left-Arm Medium-Fast,India,,37.0,36-40,Bowler,76,37,83,72,66,63.7
Sc Ganguly,2072-07-08,Left Hand,Right-Arm Medium,India,,39.0,36-40,Bowler,84,32,92,88,80,69.0
Sd Chitnis,1987-05-06,Right Hand,Right-Arm Offbreak,India,,38.0,36-40,Bowler,80,46,84,70,82,68.1
Sd Lad,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,70,10,85,70,52.65
Se Bond,2075-06-07,Right Hand,Right-Arm Fast,New Zealand,,39.0,36-40,Bowler,84,50,90,70,64,71.1
Se Marsh,1983-07-09,Left Hand,Slow Left-Arm Orthodox,Australia,,42.0,40+,Bowler,96,52,83,87,63,73.05
Shahid Afridi,1980-03-01,Right Hand,Legbreak Googly,Pakistan,,45.0,40+,Bowler,100,36,93,67,70,68.7
Shakib Al Hasan,1987-03-24,Left Hand,Slow Left-Arm Orthodox,Bangladesh,,38.0,36-40,Bowler,80,43,92,77,62,69.9
Shivam Sharma,1993-09-09,Right Hand,Right-Arm Offbreak,India,,32.0,31-35,All-Rounder,56,68,78,85,87,73.8
Shoaib Ahmed,1990-08-17,Right Hand,Right-Arm Fast-Medium,Pakistan,,35.0,31-35,Bowler,68,65,75,64,76,69.2
Shoaib Akhtar,2075-08-13,Right Hand,Right-Arm Fast,Pakistan,,39.0,36-40,Bowler,84,61,80,89,69,74.55
Shoaib Malik,1982-02-01,Right Hand,Right-Arm Offbreak,Pakistan,,43.0,40+,Bowler,100,51,89,69,67,72.7
Sj Srivastava,1981-09-22,Right Hand,Left-Arm Fast-Medium,India,,44.0,40+,Bowler,100,50,90,80,63,74.15
Sk Raina,1986-11-27,Left Hand,Right-Arm Offbreak,India,,39.0,36-40,Bowler,84,49,75,76,84,67.4
Sk Trivedi,1982-09-04,Right Hand,Right-Arm Medium,India,,43.0,40+,All-Rounder,100,74,87,85,82,83.2
Sk Warne,2069-09-13,Right Hand,Legbreak Googly,Australia,,39.0,36-40,Bowler,84,44,92,74,61,70.15
Sl Malinga,1983-08-28,Right Hand,Right-Arm Fast,Sri Lanka,,42.0,40+,Bowler,96,52,91,68,85,74.1
Sm Boland,1989-04-11,Right Hand,Right-Arm Fast-Medium,Australia,,36.0,36-40,Bowler,72,54,93,66,90,73.05
Sm Harwood,2074-03-01,Right Hand,Right-Arm Fast-Medium,Australia,,39.0,36-40,Bowler,84,49,86,60,61,67.7
Sm Katich,2075-08-21,Left Hand,Slow Left-Arm Chinaman,Australia,,39.0,36-40,Bowler,84,54,75,67,69,67.05
Sm Pollock,2073-07-16,Right Hand,Right-Arm Fast-Medium,South Africa,,39.0,36-40,All-Rounder,84,84,78,70,78,79.5
Smsm Senanayake,1985-02-09,Right Hand,Right-Arm Offbreak,Sri Lanka,,40.0,36-40,All-Rounder,88,88,79,86,85,84.4
Sn Khan,1997-10-27,Right Hand,Legbreak,India,,28.0,26-30,Bowler,40,62,90,81,88,73.75
Sn Thakur,1991-10-16,Right Hand,Right-Arm Medium,India,,34.0,31-35,Bowler,64,44,87,80,78,68.15
Sohail Tanvir,1984-12-12,Left Hand,Left-Arm Medium-Fast,Pakistan,,41.0,40+,Bowler,92,57,86,82,82,75.65
Sp Fleming,2073-04-01,Left Hand,Unknown,New Zealand,,39.0,36-40,Wicket Keeper,84,85,16,80,83,59.9
Sp Goswami,1989-05-18,Left Hand,Unknown,India,,36.0,36-40,Wicket Keeper,72,89,11,91,89,60.3
Sp Jackson,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,85,11,82,67,57.65
Sp Narine,1988-05-26,Left Hand,Right-Arm Offbreak,West Indies,,37.0,36-40,Bowler,76,65,89,86,64,77.6
Spd Smith,1989-06-02,Right Hand,Legbreak Googly,India,,36.0,36-40,Bowler,72,35,85,84,81,65.85
Sr Tendulkar,2073-04-24,Right Hand,Right-Arm Offbreak,India,,39.0,36-40,All-Rounder,84,79,67,90,84,77.2
Sr Watson,1981-06-17,Right Hand,Right-Arm Fast-Medium,Australia,,44.0,40+,Bowler,100,36,76,89,63,65.7
Ss Agarwal,,Right Hand,Legbreak Googly,Unknown,,39.0,36-40,All-Rounder,84,88,80,93,70,84.65
Ss Iyer,1994-12-06,Right Hand,Legbreak Googly,India,,31.0,31-35,Bowler,52,30,76,71,85,57.2
Ss Mundhe,1988-10-27,Right Hand,Right-Arm Medium,India,,37.0,36-40,Bowler,76,42,94,74,63,69.45
Ss Sarkar,1984-12-15,Right Hand,Right-Arm Medium,India,,41.0,40+,Bowler,92,31,79,61,64,60.05
Ss Shaikh,1987-01-18,Right Hand,Right-Arm Medium,India,,38.0,36-40,All-Rounder,80,78,89,73,70,80.9
Ss Tiwary,1989-12-30,Left Hand,Unknown,India,,36.0,36-40,Wicket Keeper,72,82,45,92,81,69.5
St Jayasuriya,2069-06-30,Left Hand,Slow Left-Arm Orthodox,Sri Lanka,,39.0,36-40,All-Rounder,84,75,87,84,72,81.3
Str Binny,1984-06-03,Right Hand,Right-Arm Medium,India,,41.0,40+,Bowler,92,45,86,60,78,67.95
Sunny Gupta,1988-09-27,Right Hand,Right-Arm Offbreak,India,,37.0,36-40,Bowler,76,62,89,87,66,76.8
Sunny Singh,1986-12-18,Right Hand,Right-Arm Medium-Fast,India,,39.0,36-40,Bowler,84,45,93,86,71,73.15
Sv Samson,1994-11-11,Right Hand,Unknown,India,,31.0,31-35,Wicket Keeper,52,75,23,92,81,57.35
Sw Billings,1991-06-15,Right Hand,Unknown,England,,34.0,31-35,Wicket Keeper,64,88,35,80,72,65.05
Sw Tait,1983-02-22,Right Hand,Right-Arm Fast,Australia,,42.0,40+,Bowler,96,47,76,68,65,66.1
Swapnil Singh,1991-01-22,Right Hand,Slow Left-Arm Orthodox,India,,34.0,31-35,All-Rounder,64,84,86,78,75,81.35
T Curran,,Right Hand,Right-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,48,89,82,80,72.65
T Henderson,2074-08-01,Right Hand,Right-Arm Fast-Medium,South Africa,,39.0,36-40,Bowler,84,52,87,61,69,69.65
T Kohli,1988-12-17,Right Hand,Right-Arm Medium,India,,37.0,36-40,Bowler,76,30,83,66,63,60.2
T Mishra,1986-12-22,Right Hand,Right-Arm Fast-Medium,India,,39.0,36-40,Bowler,84,63,81,66,73,72.35
T Natarajan,,Left Hand,Left-Arm Fast-Medium,Unknown,,39.0,36-40,Bowler,84,42,82,85,70,68.05
T Shamsi,1990-02-18,Right Hand,Slow Left-Arm Chinaman,South Africa,,35.0,31-35,Bowler,68,35,81,90,74,64.6
T Taibu,1983-05-14,Right Hand,Right-Arm Medium,Zimbabwea,,42.0,40+,Bowler,96,65,89,74,71,78.15
T Thushara,1981-03-01,Left Hand,Left-Arm Fast-Medium,Sri Lanka,,44.0,40+,Bowler,100,31,92,62,60,65.35
Ta Boult,1989-07-22,Right Hand,Left-Arm Fast-Medium,New Zealand,,36.0,36-40,Bowler,72,50,85,71,85,69.35
Td Paine,1984-12-08,Right Hand,Right-Arm Medium,Australia,,41.0,40+,Bowler,92,54,82,63,76,70.05
Tejas Baroka,,Unknown,Legbreak Googly,Unknown,,39.0,36-40,All-Rounder,84,70,69,86,79,73.9
Tg Southee,1988-12-11,Right Hand,Right-Arm Medium-Fast,New Zealand,,37.0,36-40,Bowler,76,61,75,65,82,69.05
Tl Suman,1983-12-15,Right Hand,Right-Arm Offbreak,India,,42.0,40+,Bowler,96,48,84,88,70,72.5
Tm Dilshan,1976-10-14,Right Hand,Right-Arm Offbreak,Sri Lanka,,49.0,40+,All-Rounder,100,71,78,80,85,78.4
Tm Head,1993-12-29,Left Hand,Right-Arm Offbreak,Australia,,32.0,31-35,Bowler,56,46,90,65,90,67.45
Tm Srivastava,1989-11-07,Left Hand,Right-Arm Medium,India,,36.0,36-40,Bowler,72,47,78,79,90,67.3
Tp Sudhindra,1984-04-24,Left Hand,Right-Arm Fast,India,,41.0,40+,All-Rounder,92,69,86,78,65,78.4
Tr Birt,1981-12-09,Left Hand,Right-Arm Medium,Australia,,44.0,40+,Bowler,100,32,78,64,77,61.95
Ts Mills,,Right Hand,Left-Arm Fast,Unknown,,39.0,36-40,Bowler,84,55,85,73,82,72.45
U Kaul,1987-12-02,Left Hand,Unknown,India,,38.0,36-40,Wicket Keeper,80,77,19,97,80,60.15
Ua Birla,1989-11-17,Right Hand,Right-Arm Medium,India,,36.0,36-40,All-Rounder,72,75,78,75,85,76.25
Ubt Chand,1993-03-26,Right Hand,Right-Arm Offbreak,India,,32.0,31-35,Bowler,56,41,88,87,88,68.2
Umar Gul,1984-04-14,Right Hand,Right-Arm Fast-Medium,Pakistan,,41.0,40+,Bowler,92,62,91,88,74,79.65
Ut Khawaja,1986-12-18,Left Hand,Right-Arm Medium,Australia,,39.0,36-40,Bowler,84,41,94,85,63,71.55
Ut Yadav,1987-10-25,Right Hand,Right-Arm Fast-Medium,India,,38.0,36-40,Bowler,80,39,89,81,74,68.65
V Chakravarthy,,Right Hand,Legbreak,Unknown,,39.0,36-40,All-Rounder,84,82,83,80,64,81.35
V Kohli,1988-11-05,Right Hand,Right-Arm Medium,India,,37.0,36-40,Bowler,76,61,85,84,72,74.9
V Pratap Singh,1992-05-03,Right Hand,Right-Arm Medium,India,,33.0,31-35,All-Rounder,60,83,68,84,74,75.15
V Sehwag,1978-10-20,Right Hand,Right-Arm Offbreak,India,,47.0,40+,Bowler,100,36,89,77,73,68.95
V Shankar,1991-01-26,Right Hand,Right-Arm Medium,India,,34.0,31-35,All-Rounder,64,70,78,88,78,75.3
Vh Zol,1994-11-23,Left Hand,Right-Arm Offbreak,India,,31.0,31-35,Bowler,52,52,78,89,92,68.65
Vishnu Vinod,,Right Hand,Unknown,Unknown,,39.0,36-40,Wicket Keeper,84,90,27,86,84,66.45
Vr Aaron,1989-10-29,Right Hand,Right-Arm Fast,India,,36.0,36-40,Bowler,72,40,92,80,82,69.5
Vrv Singh,1984-09-17,Right Hand,Right-Arm Medium-Fast,India,,41.0,40+,Bowler,92,37,91,66,68,67.3
Vs Malik,1983-05-09,Right Hand,Right-Arm Medium,India,,42.0,40+,All-Rounder,96,83,69,73,71,77.3
Vs Yeligati,1985-04-23,Right Hand,Right-Arm Offbreak,India,,40.0,36-40,Bowler,88,58,95,65,77,75.95
Vvs Laxman,2074-11-01,Right Hand,Right-Arm Offbreak,India,,39.0,36-40,All-Rounder,84,79,88,81,84,83.2
Vy Mahesh,1987-12-21,Right Hand,Right-Arm Medium-Fast,India,,38.0,36-40,Bowler,80,53,75,84,81,69.45
W Jaffer,1978-02-16,Right Hand,Right-Arm Offbreak,India,,47.0,40+,Bowler,100,45,77,64,62,65.4
Wa Mota,1981-09-20,Right Hand,Right-Arm Medium,India,,44.0,40+,Bowler,100,40,96,72,62,71.5
Washington Sundar,,Left Hand,Right-Arm Offbreak,Unknown,,39.0,36-40,Bowler,84,39,81,83,78,66.75
Wd Parnell,1989-07-30,Left Hand,Left-Arm Medium-Fast,South Africa,,36.0,36-40,Bowler,72,37,83,87,77,66.1
Wp Saha,1984-10-24,Right Hand,Unknown,India,,41.0,40+,Wicket Keeper,92,87,45,97,62,73.05
Wpujc Vaas,2074-01-27,Left Hand,Left-Arm Fast-Medium,Sri Lanka,,39.0,36-40,Bowler,84,52,96,82,63,75.65
X Thalaivan Sargunam,1985-05-15,Right Hand,Right-Arm Offbreak,India,,40.0,36-40,All-Rounder,88,72,86,74,73,78.85
Y Gnaneswara Rao,1984-08-25,Right Hand,Right-Arm Medium,India,,41.0,40+,All-Rounder,92,83,77,83,73,81.3
Y Nagar,1990-01-06,Right Hand,Right-Arm Offbreak,India,,35.0,31-35,Bowler,68,35,77,83,77,62.3
Y Venugopal Rao,1982-02-26,Right Hand,Right-Arm Offbreak,India,,43.0,40+,All-Rounder,100,77,73,93,68,79.85
Ya Abdulla,1983-01-17,Left Hand,Left-Arm Fast-Medium,India,,42.0,40+,Bowler,96,59,91,72,80,76.9
Yashpal Singh,1981-11-27,Right Hand,Right-Arm Medium,India,,44.0,40+,All-Rounder,100,74,77,70,79,77.3
Yk Pathan,1982-11-17,Right Hand,Right-Arm Offbreak,India,,43.0,40+,Bowler,100,51,89,90,74,76.2
Younis Khan,1977-11-29,Right Hand,Right-Arm Medium,Pakistan,,48.0,40+,Bowler,100,63,95,85,69,81.5
Ys Chahal,1990-07-23,Right Hand,Legbreak Googly,India,,35.0,31-35,All-Rounder,68,68,78,75,74,72.85
Yuvraj Singh,1981-12-12,Left Hand,Slow Left-Arm Orthodox,India,,44.0,40+,All-Rounder,100,84,66,89,72,79.45
Yv Takawale,1984-11-05,Right Hand,Unknown,India,,41.0,40+,Wicket Keeper,92,89,11,95,72,62.05
Z Khan,1978-10-07,Right Hand,Left-Arm Fast-Medium,India,,47.0,40+,Bowler,100,64,81,61,79,73.85
